CompoundType (class=java.lang.String)
c_stearoyl+sphingomyelin+%28d18%3A1%2F18%3A0%29 = Compound
c_1-docosapentaenoyl-GPC+%2822%3A5n6%29* = Compound
c_Unknown+-+12193 = Compound
c_Unknown+-+15220 = Compound
c_glycosyl-N-%282-hydroxynervonoyl%29-sphingosine+%28d18%3A1%2F24%3A1%282OH%29%29* = Compound
c_glycoursodeoxycholate = Compound
c_3-hydroxyoctanoate = Compound
2786861 = Minor+Metabolite
2786862 = Enzyme
c_ceramide+%28d16%3A1%2F24%3A1%2C+d18%3A1%2F22%3A1%29* = Compound
c_choline = Compound
2786865 = Enzyme
2786866 = Minor+Metabolite
c_glutarylcarnitine+%28C5-DC%29 = Compound
c_histidine = Compound
2786868 = Minor+Metabolite
2786869 = Metabolite
c_1-%281-enyl-oleoyl%29-2-docosahexaenoyl-GPE+%28P-18%3A1%2F22%3A6%29* = Compound
c_androstenediol+%283beta%2C17beta%29+disulfate+%281%29 = Compound
c_2%2C3-dihydroxyisovalerate = Compound
c_eicosanodioate+%28C20-DC%29 = Compound
c_citramalate = Compound
c_butyrylcarnitine+%28C4%29 = Compound
2786870 = Cofactor
2786871 = Minor+Metabolite
c_10-nonadecenoate+%2819%3A1n9%29 = Compound
2786872 = Minor+Metabolite
c_behenoyl+dihydrosphingomyelin+%28d18%3A0%2F22%3A0%29* = Compound
2786873 = Enzyme
c_phenylacetylglutamate = Compound
c_1-linoleoyl-GPG+%2818%3A2%29* = Compound
c_N6%2CN6%2CN6-trimethyllysine = Compound
2786876 = Enzyme
c_lignoceroylcarnitine+%28C24%29* = Compound
2786879 = Enzyme
c_1-margaroyl-GPE+%2817%3A0%29* = Compound
2786881 = Minor+Metabolite
p_Glutamate+Metabolism = Sub+Pathway
2786882 = Minor+Metabolite
2786884 = Enzyme
2786886 = Minor+Metabolite
c_1-oleoyl-2-docosahexaenoyl-GPC+%2818%3A1%2F22%3A6%29* = Compound
2786888 = Enzyme
c_oleoyl-oleoyl-glycerol+%2818%3A1%2F18%3A1%29++%5B1%5D* = Compound
c_Unknown+-+15497+-+retired+for+1-carboxyethylphenylalanine = Compound
c_1-linoleoyl-GPA+%2818%3A2%29* = Compound
p_Secondary+Bile+Acid+Metabolism = Sub+Pathway
c_1-palmityl-2-oleoyl-GPC+%28O-16%3A0%2F18%3A1%29* = Compound
c_theanine = Compound
c_5alpha-androstan-3alpha%2C17beta-diol+monosulfate+%281%29 = Compound
c_4-hydroxyhippurate = Compound
c_leucylleucine = Compound
c_1-%281-enyl-palmitoyl%29-GPC+%28P-16%3A0%29* = Compound
c_dimethylglycine = Compound
c_glucuronate = Compound
sp_Energy = Super+Pathway
c_N-methyltaurine = Compound
2786891 = Minor+Metabolite
2786892 = Enzyme
2786893 = Minor+Metabolite
2786896 = Enzyme
2786899 = Enzyme
c_ceramide+%28d18%3A1%2F20%3A0%2C+d16%3A1%2F22%3A0%2C+d20%3A1%2F18%3A0%29* = Compound
c_1-palmitoylglycerol+%2816%3A0%29 = Compound
c_5alpha-androstan-3alpha%2C17beta-diol+monosulfate+%282%29 = Compound
c_Unknown+-+15666 = Compound
c_N-palmitoylglycine = Compound
p_Tocopherol+Metabolism = Sub+Pathway
c_saccharin = Compound
c_5alpha-androstan-3beta%2C17beta-diol+disulfate = Compound
c_malate = Compound
c_Unknown+-+13007 = Compound
c_cholesterol = Compound
c_vanillactate = Compound
c_S-allylcysteine = Compound
c_1-stearoyl-2-linoleoyl-GPC+%2818%3A0%2F18%3A2%29* = Compound
c_Unknown+-+15674 = Compound
c_sphingomyelin+%28d18%3A2%2F16%3A0%2C+d18%3A1%2F16%3A1%29* = Compound
c_alpha-tocopherol = Compound
c_glutamate = Compound
c_1-%281-enyl-palmitoyl%29-2-oleoyl-GPE+%28P-16%3A0%2F18%3A1%29* = Compound
c_ibuprofen = Compound
c_1-%281-enyl-palmitoyl%29-2-linoleoyl-GPC+%28P-16%3A0%2F18%3A2%29* = Compound
c_corticosterone = Compound
c_Unknown+-+23295 = Compound
c_Unknown+-+23296 = Compound
c_Unknown+-+23297 = Compound
c_2-linoleoylglycerol+%2818%3A2%29 = Compound
sp_Cofactors+and+Vitamins = Super+Pathway
c_stearate+%2818%3A0%29 = Compound
c_Unknown+-+23293 = Compound
c_Unknown+-+23294 = Compound
c_androstenediol+%283beta%2C17beta%29+disulfate+%282%29 = Compound
c_glycohyocholate = Compound
c_N-acetyltyrosine = Compound
c_glucuronide+of+C10H14O2+%287%29* = Compound
c_7-hydroxyindole+sulfate = Compound
c_1-lignoceroyl-GPC+%2824%3A0%29 = Compound
c_carnosine = Compound
c_myristoleoylcarnitine+%28C14%3A1%29* = Compound
c_1-%281-enyl-stearoyl%29-GPC+%28P-18%3A0%29* = Compound
c_caproate+%286%3A0%29 = Compound
c_N2-methylguanosine = Compound
c_Unknown+-+11299 = Compound
c_sphingomyelin+%28d18%3A2%2F24%3A2%29* = Compound
c_1-oleyl-2-linoleoyl-GPC+%28O-18%3A1%2F18%3A2%29* = Compound
c_sphingomyelin+%28d18%3A2%2F24%3A1%2C+d18%3A1%2F24%3A2%29* = Compound
c_Unknown+-+24129 = Compound
c_1-palmitoyl-2-arachidonoyl-GPC+%2816%3A0%2F20%3A4n6%29 = Compound
c_Unknown+-+23276 = Compound
c_1%2C3-dimethylurate = Compound
c_decanoylcarnitine+%28C10%29 = Compound
c_Unknown+-+11261 = Compound
c_linoleoyl+ethanolamide = Compound
c_1-%281-enyl-palmitoyl%29-2-myristoyl-GPC+%28P-16%3A0%2F14%3A0%29* = Compound
c_Unknown+-+12112 = Compound
c_linoleoyl-arachidonoyl-glycerol+%2818%3A2%2F20%3A4%29+%5B2%5D* = Compound
c_glucuronide+of+C10H18O2+%286%29* = Compound
c_Unknown+-+24571 = Compound
c_cysteinylglycine+disulfide* = Compound
p_Tryptophan+Metabolism = Sub+Pathway
p_Aminosugar+Metabolism = Sub+Pathway
c_N-palmitoyl-heptadecasphingosine+%28d17%3A1%2F16%3A0%29* = Compound
c_3%2C4-methyleneheptanoate = Compound
c_Unknown+-+12117 = Compound
c_undecanedioate+%28C11-DC%29 = Compound
c_N-acetylvaline = Compound
c_1-stearoyl-2-linoleoyl-GPE+%2818%3A0%2F18%3A2%29* = Compound
c_Unknown+-+12126 = Compound
c_Unknown+-+24106 = Compound
c_1-linoleoylglycerol+%2818%3A2%29 = Compound
c_Unknown+-+24585 = Compound
c_Unknown+-+24588 = Compound
p_Androgenic+Steroids = Sub+Pathway
c_Unknown+-+12127 = Compound
c_1-nervonoyl-GPC+%2824%3A1n9%29* = Compound
c_pro-hydroxy-pro = Compound
c_1-myristoyl-2-docosahexaenoyl-GPC+%2814%3A0%2F22%3A6%29* = Compound
c_cis-4-decenoylcarnitine+%28C10%3A1%29 = Compound
c_5alpha-pregnan-3beta%2C20alpha-diol+disulfate = Compound
c_androstenediol+%283beta%2C17beta%29+monosulfate+%282%29 = Compound
c_hydroxyasparagine** = Compound
c_Unknown+-+24556 = Compound
c_Unknown+-+16935 = Compound
c_serine = Compound
c_Unknown+-+16938 = Compound
c_1-%281-enyl-palmitoyl%29-2-arachidonoyl-GPC+%28P-16%3A0%2F20%3A4%29* = Compound
c_androsterone+glucuronide = Compound
c_orotidine = Compound
c_Unknown+-+13431 = Compound
c_1-margaroylglycerol+%2817%3A0%29 = Compound
c_Unknown+-+12100 = Compound
c_Unknown+-+16944 = Compound
c_Unknown+-+12101 = Compound
c_1%2C7-dimethylurate = Compound
c_1-behenoyl-GPC+%2822%3A0%29 = Compound
c_androstenediol+%283beta%2C17beta%29+monosulfate+%281%29 = Compound
c_2-methylcitrate%2Fhomocitrate = Compound
c_Unknown+-+24565 = Compound
c_perfluorooctanesulfonic+acid+%28PFOS%29 = Compound
c_Unknown+-+16946 = Compound
c_2-hydroxynervonate* = Compound
c_docosahexaenoylcholine = Compound
c_iminodiacetate+%28IDA%29 = Compound
c_sphingomyelin+%28d18%3A1%2F20%3A2%2C+d18%3A2%2F20%3A1%2C+d16%3A1%2F22%3A2%29* = Compound
c_taurodeoxycholate = Compound
c_quinate = Compound
c_sarcosine = Compound
c_Unknown+-+23680 = Compound
c_cerotoylcarnitine+%28C26%29* = Compound
c_2-stearoyl-GPE+%2818%3A0%29* = Compound
c_3-hydroxyadipate* = Compound
c_ribitol = Compound
c_Unknown+-+24546 = Compound
c_1-palmitoyl-2-pentadecanoyl-GPC+%2816%3A0%2F15%3A0%29* = Compound
c_Unknown+-+24549 = Compound
c_sphingomyelin+%28d18%3A1%2F24%3A1%2C+d18%3A2%2F24%3A0%29* = Compound
c_Unknown+-+24542 = Compound
c_N-formylphenylalanine = Compound
c_Unknown+-+24544 = Compound
c_1-stearoyl-2-docosapentaenoyl-GPE+%2818%3A0%2F22%3A5n3%29* = Compound
c_metformin = Compound
c_oleate%2Fvaccenate+%2818%3A1%29 = Compound
c_Unknown+-+24545 = Compound
c_5-acetylamino-6-formylamino-3-methyluracil = Compound
c_carboxyibuprofen+glucuronide* = Compound
c_Unknown+-+23666 = Compound
p_Lysophospholipid = Sub+Pathway
c_caprylate+%288%3A0%29 = Compound
c_xanthurenate = Compound
c_Unknown+-+24512 = Compound
c_Unknown+-+23665 = Compound
c_1-stearoyl-2-meadoyl-GPC+%2818%3A0%2F20%3A3n9%29* = Compound
c_Unknown+-+13866 = Compound
p_Drug+-+Other = Sub+Pathway
c_N-acetyl-2-aminooctanoate* = Compound
c_isovalerylcarnitine+%28C5%29 = Compound
c_Unknown+-+12544 = Compound
c_Unknown+-+12543 = Compound
c_tetradecanedioate+%28C14-DC%29 = Compound
c_Unknown+-+24527 = Compound
c_spermidine = Compound
c_3-carboxy-4-methyl-5-propyl-2-furanpropanoate+%28CMPF%29 = Compound
c_2-hydroxyhippurate+%28salicylurate%29 = Compound
c_2-hydroxyadipate = Compound
c_1-linoleoyl-2-docosapentaenyol-GPC+%2818%3A2%2F22%3A5n3%29* = Compound
c_sphingomyelin+%28d18%3A1%2F22%3A2%2C+d18%3A2%2F22%3A1%2C+d16%3A1%2F24%3A2%29* = Compound
c_N-carbamoylaspartate = Compound
c_5-hydroxylysine = Compound
c_9%2C10-DiHOME = Compound
c_1-%281-enyl-stearoyl%29-2-linoleoyl-GPC+%28P-18%3A0%2F18%3A2%29* = Compound
c_N-acetylhistidine = Compound
c_Unknown+-+11787 = Compound
