CompoundType (class=java.lang.String)
2782018 = Minor+Metabolite
2782016 = Enzyme
2934871 = Cofactor
2782017 = Minor+Metabolite
2934872 = Metabolite
2784678 = Metabolite
2782014 = Minor+Metabolite
2784677 = Minor+Metabolite
2782015 = Minor+Metabolite
2934870 = Minor+Metabolite
2784676 = Metabolite
c_Unknown+-+15220 = Compound
c_glycosyl-N-%282-hydroxynervonoyl%29-sphingosine+%28d18%3A1%2F24%3A1%282OH%29%29* = Compound
2934875 = Minor+Metabolite
2784675 = Enzyme
2782013 = Class
2934876 = Metabolite
2784674 = Minor+Metabolite
2782010 = Minor+Metabolite
2934873 = Metabolite
2784673 = Cofactor
2782011 = Enzyme
2934874 = Enzyme
2784672 = Cofactor
2934879 = Enzyme
2784671 = Cofactor
2784670 = Metabolite
2934877 = Minor+Metabolite
2934878 = Metabolite
2782009 = Minor+Metabolite
2782007 = Metabolite
2782008 = Metabolite
2784669 = Metabolite
2782005 = Minor+Metabolite
2934860 = Metabolite
2784668 = Enzyme
2783336 = FinalPathway
2934861 = Metabolite
2784667 = Metabolite
2784666 = Minor+Metabolite
2782004 = Enzyme
2782001 = Minor+Metabolite
2783333 = FinalPathway
2934864 = Minor+Metabolite
2784664 = Minor+Metabolite
c_citramalate = Compound
2782002 = Class
2934865 = Minor+Metabolite
2784663 = Enzyme
2934862 = Enzyme
2784662 = Minor+Metabolite
2782000 = Minor+Metabolite
2934863 = Minor+Metabolite
2784661 = Minor+Metabolite
2934868 = Enzyme
2784660 = Metabolite
2934869 = Minor+Metabolite
2934866 = Metabolite
c_phenylacetylglutamate = Compound
2934867 = Metabolite
c_N6%2CN6%2CN6-trimethyllysine = Compound
c_lignoceroylcarnitine+%28C24%29* = Compound
2934890 = Metabolite
2784659 = Metabolite
2783327 = FinalPathway
2784658 = Enzyme
2934894 = Minor+Metabolite
2934891 = Metabolite
2783323 = FinalPathway
2934892 = Enzyme
2934897 = Enzyme
2783321 = FinalPathway
2934898 = Minor+Metabolite
2934895 = Cofactor
2934896 = Metabolite
2934899 = Minor+Metabolite
c_1-oleoyl-2-docosahexaenoyl-GPC+%2818%3A1%2F22%3A6%29* = Compound
2783318 = Label
2783317 = Class
2783316 = Metabolite
2783315 = Cofactor
2934882 = Metabolite
2934883 = Minor+Metabolite
2934880 = Cofactor
2783312 = Enzyme
2934881 = Metabolite
2783311 = Class
2934886 = Enzyme
2783310 = Metabolite
2934884 = Metabolite
2934885 = Minor+Metabolite
2934888 = Metabolite
2934889 = Cofactor
c_1-palmitoylglycerol+%2816%3A0%29 = Compound
2783309 = Class
2783308 = Enzyme
2783306 = FinalPathway
p_Tocopherol+Metabolism = Sub+Pathway
2783303 = FinalPathway
2783301 = FinalPathway
c_malate = Compound
c_2-linoleoylglycerol+%2818%3A2%29 = Compound
c_stearate+%2818%3A0%29 = Compound
c_N-acetyltyrosine = Compound
c_glucuronide+of+C10H14O2+%287%29* = Compound
c_myristoleoylcarnitine+%28C14%3A1%29* = Compound
c_1-oleyl-2-linoleoyl-GPC+%28O-18%3A1%2F18%3A2%29* = Compound
c_1%2C3-dimethylurate = Compound
2937066 = Minor+Metabolite
2937067 = Minor+Metabolite
c_linoleoyl+ethanolamide = Compound
2937068 = Minor+Metabolite
2937061 = Minor+Metabolite
2937062 = Minor+Metabolite
2937063 = Minor+Metabolite
2937064 = Enzyme
2950039 = Minor+Metabolite
2937069 = Minor+Metabolite
2949050 = Metabolite
2950036 = Minor+Metabolite
2951367 = Metabolite
2952699 = Minor+Metabolite
2950035 = Enzyme
2951366 = Metabolite
2950038 = Minor+Metabolite
2952697 = Minor+Metabolite
2950037 = Minor+Metabolite
2951368 = Unknown
2952698 = Minor+Metabolite
2951363 = Enzyme
2952695 = Enzyme
2949042 = Minor+Metabolite
2950031 = Minor+Metabolite
2951362 = Metabolite
2952696 = Minor+Metabolite
c_cysteinylglycine+disulfide* = Compound
2949041 = Minor+Metabolite
2950034 = Minor+Metabolite
2951365 = Minor+Metabolite
2952693 = Minor+Metabolite
2950033 = Minor+Metabolite
2951364 = Minor+Metabolite
2952694 = Minor+Metabolite
2949047 = Minor+Metabolite
2949046 = Metabolite
2949045 = Enzyme
2950030 = Metabolite
2951361 = Metabolite
2949044 = Metabolite
2951360 = Enzyme
2952690 = Minor+Metabolite
2949049 = Enzyme
2937071 = Enzyme
2937056 = Metabolite
